NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering IC,Application ID,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Department,Primary DUNS,Primary UEI,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,NIH COVID-19 Response,Total Cost IC
No NIH Category available,Acute;Address;Affect;Aging;Air;Area;Behavior;Behavioral;Biological;Biological Markers;Burn injury;California;Carbon Monoxide;Cardiovascular system;Censuses;Chemicals;Chronic;Climatology;Cognitive;Communities;Country;Data;Disasters;Dose;Elderly;Enrollment;Epidemiology;Epigenetic Process;Ethnic Origin;Ethnic group;Exposure to;Fire - disasters;Frequencies;Geography;Gerontology;Health;Heart Diseases;Home;Human;Immune;Indoor Air Pollution;Indoor Air Quality;Inflammatory;Longitudinal cohort;Measures;Mediating;Messenger RNA;Meteorology;MicroRNAs;Modeling;Molecular;Molecular Profiling;Neurocognitive;Neurologic;Outcome;Ozone;Participant;Particulate Matter;Pathway interactions;Population;Population Density;Prevention;Process;Psychosocial Factor;Psychosocial Influences;Public Health;Race;Research;Research Design;Research Personnel;Respiratory Disease;Respiratory System;Risk;Saliva;Salivary;Sampling;Seasons;Series;Shapes;Small RNA;Smoke;Social Behavior;Social support;Socioeconomic Status;Sociology;Source;Subgroup;Surveys;Testing;Time;Toxin;Tracer;Travel;Wildfire;atmospheric sciences;base;biobank;biopsychosocial factor;coarse particles;cohort;design;epigenetic marker;ethnic diversity;exosome;fine particles;immune function;indoor air;indoor exposure;interdisciplinary approach;physical conditioning;pollutant;protective behavior;psychologic;racial diversity;recruit;research study;respiratory;response;saliva sample;social;sociodemographic factors;time use,Successful Aging in a Time of Wildfires,"PROJECT NARRATIVE
As disasters such as wildfires increase, older adults are particularly susceptible to the health
effects of smoke exposure. By applying sophisticated outdoor and indoor air modeling to
estimate older adults’ exposure, and epigenetic assessments to quantify the biological changes
related to such exposures, this study will contribute to a greater understanding of the dose-
response relationship between wildfires and successful aging among older adults. Furthermore,
this study will help establish the ways that socio-behavioral factors moderate this dose-response
relationship to promote or inhibit successful aging among older adults.",NIA,10688315,PAR-19-250,1R56AG072567-01A1,1,R56,AG,72567,1,A,7096525,"ABRAMSON, DAVID M",Not Applicable,SOCIAL SCIENCES,41968306,NX9PXMKW5KW8,5998301,NEW YORK UNIVERSITY,NEW YORK,NY,SCHOOLS OF PUBLIC HEALTH,100122300,UNITED STATES,Non-SBIR/STTR,2022,680824, ,NIA,535571,145253, ,680824
No NIH Category available,Address;Affect;Bar Codes;Biological;Biological Models;Biology;Carbon;Collection;Communities;Complex;DNA;Data;Development;Doctor of Philosophy;Ecology;Environment;Evolution;Exhibits;Fermentation;General Practitioners;Genes;Geography;Growth;Health;Human;Individual;Invaded;Laboratories;Lead;Learning;Measurement;Measures;Medicine;Memory;Molecular Biology;Mutate;Mutation;Nature;Operon;Organism;Pattern;Population;Population Dynamics;Population Genetics;Process;Recurrence;Research Training;Resolution;Respiration;Role;Saccharomyces cerevisiae;Series;Signal Transduction;Source;Specialist;Stress;System;Technology;Testing;Training;Virus;Work;Yeasts;cancer cell;cost;drug resistant bacteria;experimental study;fitness;improved;insight;knockout gene;loss of function;microbial;migration;mutant;outreach;pleiotropism;prevent;temporal measurement;theories,Quantifying evolutionary solutions to fitness tradeoffs in fluctuating environments,"Project Narrative
 A major concern for human health is the ability of emerging viruses, drug-resistant bacteria, and mutating
cancer cells to adapt to ever-shifting host environments. Predicting evolution in fluctuating environments is
therefore important, but experiments thus far have mostly focused on adaptation to static conditions, due to the
difficulty of tracking large numbers of evolutionary paths in multiple conditions at high temporal resolution. We
will investigate how environmental variability and fitness tradeoffs steer evolutionary dynamics of populations
of Saccharomyces cerevisiae with a high-throughput DNA barcoding technology.",NIGMS,10534955,PA-21-048,1F32GM145148-01A1,1,F32,GM,145148,1,A,11509119,"ABREU, CLARE ISABEL",Not Applicable,BIOLOGY,9214214,HJD6G4D6TJY5,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF ARTS AND SCIENCES,943052004,UNITED STATES,"Training, Individual",2022,67582, ,NIGMS,67582,0, ,67582
No NIH Category available,Address;Adult;Affect;Age;Animal Model;Anti-Inflammatory Agents;Attenuated;Birth;Blood Circulation;Brain region;Cells;Chronic;Data;Development;Distress;Enzyme-Linked Immunosorbent Assay;Epigenetic Process;Equilibrium;Exposure to;Goals;Histones;Human;Hydromorphone;Immune;Immune System Diseases;Immune response;Immune system;Immunosuppression;Impairment;Incidence;Infant;Inflammation;Inflammation Mediators;Inflammatory;Inflammatory Response;Interleukin-1 beta;Intestines;Investigation;Life;Lysine;Maintenance;Measures;Mediating;Mediator of activation protein;Modeling;Modification;Molecular;Morbidity - disease rate;Morphine;Mus;National Institute of Drug Abuse;Neonatal;Neonatal Abstinence Syndrome;Neurologic Symptoms;Opioid;Phenotype;Play;Population;Pregnancy;Production;Promoter Regions;Recording of previous events;Regulation;Reporting;Role;Streptococcus pneumoniae;Syndrome;Systemic Inflammatory Response Syndrome;TLR4 gene;TNF gene;Taxonomy;Testing;United States;Woman;brain tissue;cytokine;differential expression;dysbiosis;epigenetic regulation;epigenome;experience;fetal opioid exposure;functional disability;genomic locus;gut dysbiosis;gut microbes;gut microbiome;gut microbiota;gut-brain axis;immunoregulation;in utero;insight;interest;macrophage;metabolome;microbial;microbiome;mortality;mouse model;neutrophil;offspring;opioid epidemic;opioid exposure;opioid use;opioid user;postnatal;prenatal;prenatal exposure;probiotic therapy;promoter;reproductive;response;systemic inflammatory response,Prenatal Opioid Exposure and Inflammation: The Role of the Microbiome and Epigenome.,"Project Narrative
The opioid crisis has resulted in an alarming number of infants with a history of prenatal opioid exposure. Opioids
are known to impair immune responses, thus uncovering how prenatal opioid exposure contributes to immune
dysfunction is of great interest. This proposal postulates that immune dysfunction following prenatal opioid
exposure may be the result of modulation of gut microbiota and epigenetic reprogramming of intestinal
macrophages.",NIDA,10235840,PA-20-251,1F31DA053795-01,1,F31,DA,53795,1, ,11837888,"ABU, YAA ",Not Applicable,SURGERY,52780918,F8THLJQSAF93,5221250,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,CORAL GABLES,FL,SCHOOLS OF MEDICINE,331462926,UNITED STATES,"Training, Individual",2022,51752, ,NIDA,51752,0, ,51752
No NIH Category available,Adult;Age;Antibodies;Applications Grants;Autoimmune;Award;Beta Cell;Biological Markers;Blood;Cell physiology;Child;Childhood;Clinical;Data;Development;Diabetes Mellitus;Diagnosis;Disease;Emergency department visit;Etiology;Fasting;Functional disorder;Funding;Generations;Glucose;Goals;Guide prevention;Health Care Costs;Hospitalization;Impairment;Incidence;Infrastructure;Insulin Antibodies;Insulin Resistance;Insulin-Dependent Diabetes Mellitus;K-Series Research Career Programs;Knowledge;Lead;Life Expectancy;Longitudinal prospective study;Measures;Medical center;Methods;Modeling;Morbidity - disease rate;Multicenter Trials;National Institute of Diabetes and Digestive and Kidney Diseases;Natural History;Nature;Non-Insulin-Dependent Diabetes Mellitus;Outcome;Pancreatic Polypeptide;Patient-Focused Outcomes;Patients;Pattern;Pediatric Hospitals;Pediatrics;Peptides;Persons;Physiological;Play;Population;Prediabetes syndrome;Prevention;Prospective Studies;Registries;Research;Research Design;Risk;Risk Factors;Role;Sampling;Standardization;Testing;Therapeutic;Time;Translating;United States;Variant;Work;acute pancreatitis;base;biobank;chronic pancreatitis;cohort;cystic fibrosis related diabetes;design;diabetes risk;feasibility testing;gastrointestinal;glucose metabolism;improved;indexing;innovation;insulin secretion;islet;novel;patient subsets;predictive modeling;prognostic significance;prospective;response;sample collection;screening,Diabetes Timing and Types and the Effect on Beta Cell Function Post-Acute Pancreatitis in Children,"Project Narrative
Acute pancreatitis in children is increasing in incidence and can lead to diabetes mellitus in a third of cases,
resulting in increased morbidity. Our studies evaluate the timing and types of diabetes post-acute pancreatitis
and its effect on beta cells. Understanding the timing and type of diabetes would allow early recognition and
treatment to improve patients' outcomes.",NIDDK,10350091,PAR-19-365,1R03DK131156-01,1,R03,DK,131156,1, ,10722229,"ABU-EL-HAIJA, MAISAM ",Not Applicable,Unavailable,71284913,JZD1HLM2ZU83,615001,CINCINNATI CHILDRENS HOSP MED CTR,CINCINNATI,OH,Independent Hospitals,452293039,UNITED STATES,Non-SBIR/STTR,2022,113728, ,NIDDK,75000,38728, ,113728
No NIH Category available,Affect;Age;Aging;Animals;Area;Bar Codes;Biological Assay;Biology;Biology of Aging;Blood;Blood Cells;Bone Marrow;Bone Marrow Cells;Cell Aging;Cell Cycle;Cell Lineage;Cells;Chronology;Complex;Computer Models;Coupling;Data;Data Set;Degenerative Disorder;Deterioration;Development;Disease;Engineering;Engraftment;Equilibrium;Evaluation;Eye;Foundations;Gene Expression Profile;Genes;Genetic Transcription;Health;Hematopoietic Stem Cell heterogeneity;Hematopoietic stem cells;Heterogeneity;Human;In Situ;In Vitro;Individual;Inflammation;Inflammatory;Injury;Intervention;Libraries;Lymphoid;Measurement;Methods;Modeling;Modification;Molecular;Molecular Profiling;Mus;Muscle;Myelogenous;Outcome;Output;Phenotype;Physiological;Physiology;Population;Process;RNA;Recovery;Rejuvenation;Resolution;Skin;Testing;Tissues;Training;Transplantation;Validation;Viral;Whole Organism;age effect;age related;aged;base;bone aging;c-myc Genes;cell regeneration;cell type;cellular engineering;cellular transduction;hematopoietic stem cell aging;hematopoietic stem cell niche;hematopoietic stem cell quiescence;hematopoietic stem cell self-renewal;high throughput screening;immune function;in vivo;injury and repair;insight;irradiation;novel;novel therapeutic intervention;novel therapeutics;overexpression;post-transplant;predictive modeling;progenitor;regeneration potential;repaired;response to injury;restoration;screening;self-renewal;senescence;sex;single cell sequencing;single-cell RNA sequencing;small molecule;stem cell aging;stem cell niche;stem cell population;stem cells;therapeutic candidate;tool;tool development;transcription factor;transcriptome;transcriptomics,Discovery and manipulation of transcription factors to restore long term stem cell repopulation in aged bone-marrow,"Project Narrative
The complex biology of aging, characterized by a progressive loss of cellular and physiological function, is
particularly evident in hematopoietic stem cells (HSCs) where aging results in a reduced capacity to self-renew
and differentiate into lymphoid lineages. We propose a two-pronged approach for reversing HSC aging via
cellular reprogramming, involving 1) profiling molecular signatures of aging in HSCs at single cell resolution to
both develop metrics for aging and nominate transcription factors (TFs) involved in aging and self-renewal and
2) screening of TFs nominated by single-cell RNA-sequencing for restoration of HSC quiescence, self-renewal,
lymphoid/myeloid balance, and systemic effects in an in vivo mouse aging model. Novel TFs will be characterized
for their mechanism in renewing HSCs and restoring other downstream lineages in the bone marrow, and the
framework presented will provide a generalizable approach for understanding stem cell aging and discovering
new therapeutic interventions.",NIA,10334958,PAR-21-038,1R01AG074932-01,1,R01,AG,74932,1, ,14310805,"ABUDAYYEH, OMAR O","GOOTENBERG, JONATHAN SAMUEL",MISCELLANEOUS,1425594,E2NYLCDML6V1,4911501,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,ORGANIZED RESEARCH UNITS,21421029,UNITED STATES,Non-SBIR/STTR,2022,601926, ,NIA,409446,192480, ,601926
No NIH Category available,Address;Adherence;Africa South of the Sahara;Behavioral;Car Phone;Caring;Child;Clinic Visits;Clinical;Cluster randomized trial;Communities;Complex;Data;Distress;Dropout;Ensure;Evidence based intervention;Face;Failure;Family;Funding;Goals;HIV;HIV Infections;Health;Hybrids;Infant;Intervention;Kenya;Longitudinal Studies;Maternal Health;Maternal and Child Health;Mental Depression;Mental Health;Mentors;Methods;Minor;Modality;Mother-to-child HIV transmission;Mothers;Newly Diagnosed;Outcome;Performance;Persons;Population;Postpartum Period;Postpartum Women;Pregnancy;Pregnant Women;Psyche structure;Psychosocial Assessment and Care;Psychosocial Factor;Randomized;Research;Resource-limited setting;Resources;Risk;Risk Factors;Sampling;Specialist;Subgroup;Testing;Text Messaging;Treatment Failure;Treatment outcome;Vertical Disease Transmission;Violence;Viral;Viral Load result;Visit;Woman;Work;adaptive intervention;antiretroviral therapy;base;design;effective intervention;effectiveness implementation trial;experience;follow-up;health goals;high risk;human centered design;improved;intimate partner violence;mHealth;male;novel;pilot test;pregnant;prevent;primary outcome;problem solving therapy;programs;psychosocial;psychosocial stressors;risk stratification;satisfaction;scale up;social stigma;sociodemographics;standard of care;therapy adherence;three-arm study;tool;visit adherence,Piloting risk stratification and tailored interventions with pregnant and postpartum women with HIV in Kenya to prevent disengagement from care and viral failure,"Project Narrative
Our proposal seeks to improve HIV outcomes among pregnant and postpartum women living with
HIV and their infants in sub-Saharan Africa. We will develop a novel risk calculator to better
identify pregnant women who should be the highest priority for intervention to prevent treatment
failure and dropouts from HIV care. Next, we will engage women and lay health workers in
adapting a promising evidence-based intervention (Problem Management Plus) to address
psychosocial stressors and reduce treatment failure and loss to follow up and then pilot the
intervention to test its acceptability, feasibility, and preliminary efficacy. This study will contribute
to the overall goal of achieving optimal health outcomes for women living with HIV and their
families in sub-Saharan Africa.",NIMH,10408229,PA-20-141,1R34MH126857-01A1,1,R34,MH,126857,1,A,11962410,"ABUOGI, LISA LYNN","ONONO, MARICIANAH ATIENO; TURAN, JANET M",PEDIATRICS,41096314,MW8JHK6ZYEX8,1199905,UNIVERSITY OF COLORADO DENVER,Aurora,CO,SCHOOLS OF MEDICINE,800452570,UNITED STATES,Non-SBIR/STTR,2022,239686, ,NIMH,180823,58863, ,239686
No NIH Category available,Address;Algorithms;Axon;Behavior;Biological Models;Brain;Calcium;Data Analyses;Dendrites;Dendrodendritic Synapse;Dorsal;Electron Microscopy;Electrophysiology (science);Ensure;Equilibrium;Exhibits;Eye;Functional Imaging;Goals;Guidelines;Histology;Image;Individual;Interneurons;Knowledge;Label;Lateral Geniculate Body;Learning;Light;Mediating;Methods;Microscopy;Mus;Nervous system structure;Neurodevelopmental Disorder;Neurons;Oranges;Output;Perception;Physiological;Physiology;Presynaptic Terminals;Property;Research;Resolution;Retina;Retinal Ganglion Cells;Role;Shapes;Signal Transduction;Site;Slice;Stream;Structure;Synapses;Testing;Thalamic structure;Training;Transgenic Organisms;Triad Acrylic Resin;Vertebral column;Visual;Visual evoked cortical potential;Visual system structure;Visualization;appendage;autism spectrum disorder;career;cell type;experimental study;in vivo;in vivo calcium imaging;insight;large scale data;neurotransmission;optogenetics;patch clamp;postsynaptic;presynaptic;relating to nervous system;response;retinal neuron;retinogeniculate;sensory integration;spatiotemporal;synaptic function;visual information;visual processing,Dendritic integration at the retinogeniculate synapse,"Project Narrative
Results from this proposed study will provide insight into how local inhibitory circuits in the form of synaptic
triads regulate integration of incoming visual information. Knowledge gained from this proposal will further
our understanding on how synaptic input organization can dictate synaptic function. These experiments will
provide valuable information on fundamental principles of the nervous system that will help guide therapies
for neurodevelopmental disorders resulting in disruption of the excitation-inhibition balance, such as in several
forms of autism.",NEI,10389037,PA-21-048,1F32EY033630-01,1,F32,EY,33630,1, ,11963983,"ACARON, HECTOR ",Not Applicable,Unavailable,76593722,Z1L9F1MM1RY3,1504801,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Independent Hospitals,21155724,UNITED STATES,"Training, Individual",2022,67174, ,NEI,67174,0, ,67174
No NIH Category available,Address;Adherence;Advocacy;Advocate;Anxiety;Anxiety Disorders;Automobile Driving;Behavioral;Biological;Biological Testing;Birth;Black race;Blood;C-reactive protein;COVID-19;CREB1 gene;Caring;Child;Childbirth;Clinical;Clinical effectiveness;Communication;Communication Barriers;Communities;Community Networks;Complication;Control Groups;Coupled;Data;Diagnosis;Diagnostic;Discrimination;Education;Etiology;Functional disorder;Gene Expression Profile;Genes;Gestational Diabetes;Goals;Health;Healthcare;Healthy People 2020;Inflammation;Inflammatory;Intervention;Knowledge;Laws;Light;Los Angeles;Low Birth Weight Infant;Maternal Health;Medical;Mental Depression;Mental Health;Mental Health Services;Mental disorders;Minority;Mobile Health Application;Mood Disorders;Mothers;Multi-Institutional Clinical Trial;Outcome;Participant;Patients;Perinatal;Physicians;Physiological;Population;Positioning Attribute;Postpartum Period;Pregnancy;Pregnancy Complications;Pregnant Women;Prevalence;Primary Health Care;Provider;Psyche structure;Public Health;Randomized;Randomized Controlled Trials;Recommendation;Reporting;Research;Research Proposals;Risk;Risk Factors;Role;Small for Gestational Age Infant;Source;Spottings;Stress;Structure;Symptoms;Techniques;Telemedicine;Testing;Visit;Well in self;Woman;Work;adverse outcome;base;black patient;black women;clinical care;comparison intervention;cultural competence;design;differential expression;effective intervention;experience;follow-up;group intervention;health disparity;health equity;improved;improved outcome;insight;jun Oncogene;mHealth;minority patient;novel;online care;perinatal mental health;perinatal outcomes;perinatal period;physical conditioning;physical symptom;premature;prenatal;prevent;prospective;psychoeducation;public health relevance;racial disparity;racism;screening;self help;skills;standard of care;stress management;support network;systemic inflammatory response;transcription factor;virtual;women of color,A Randomized Control Trial of a Culturally Relevant Maternal Wellness App to Improve Black Maternal Mental Health Outcomes,"Narrative/Public Health Relevance
Included in the many objectives of Healthy People 2020 is a goal to reduce maternal illness, pregnancy
complications, and rates of low birth weight, and decrease rates of perinatal mood and anxiety disorders,
particularly in Black women. To help meet these goals, we must better understand the biological mechanisms
leading to perinatal mood and anxiety disorders (PMADs). The current research proposal is positioned to meet
this public health need and given the numerous potential consequences of PMADs on maternal and child
outcomes it is imperative that research is focused on better understanding PMAD risk factors and
mechanisms to better target interventions.",NIMHD,10593841,PAR-20-150,1R21MD017396-01A1,1,R21,MD,17396,1,A,11103090,"ACCORTT, EYNAV ELGAVISH",Not Applicable,Unavailable,75307785,NCSMA19DF7E6,1225501,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,Independent Hospitals,900481804,UNITED STATES,Non-SBIR/STTR,2022,208750, ,NIMHD,125000,83750, ,208750
No NIH Category available,Adolescent;Adrenal Cortex Hormones;Adult;Affect;Agreement;Alveolar;Angiogenic Factor;Animals;Anti-Inflammatory Agents;Antiinflammatory Effect;Bacteremia;Binding;Bolus Infusion;Brain;Bronchopulmonary Dysplasia;Calcium;Cardiac;Cardiotoxicity;Cell Death;Cells;Cessation of life;Childhood;Chitin;Clinic;Clinical;Clinical Trials;Complication;Data;Development;Diagnosis;Disease;Dose;Dysplasia;Enzyme-Linked Immunosorbent Assay;Exposure to;Gases;Genetic Predisposition to Disease;Gestational Age;Goals;Gram-Negative Bacteria;Gram-Negative Bacterial Infections;Grant;Growth Factor;Human;Hyperoxia;Immune response;Immunity;Immunologist;Impairment;In Vitro;Incidence;Infant;Infection;Inflammation;Inflammation Mediators;Inflammatory;Injections;Interleukin-1 beta;Interleukin-10;Interleukin-6;Intraperitoneal Injections;Investigational New Drug Application;Lead;Life;Lung;Lymphocyte;Measures;Mechanical Ventilators;Mechanical ventilation;Modeling;Molecular Weight;Mus;Neonatal;No-Observed-Adverse-Effect Level;Oligosaccharides;Orphan;Outcome Measure;Oxygen;Pathologic;Pathway interactions;Phagocytosis;Pharmaceutical Preparations;Phenotype;Physiology;Plasma;Play;Premature Birth;Premature Infant;Prevention;Prevention approach;Production;Prophylactic treatment;Proteins;Protocols documentation;Pulmonary Hypertension;Pulmonary Inflammation;Rattus;Reactive Oxygen Species;Recovery;Regimen;Reporting;Research;Respiratory Disease;Respiratory Failure;Rest;Risk;Role;Safety;Scientist;Secondary to;Series;Serum;Signal Transduction;TLR4 gene;TNF gene;Techniques;Testing;Therapeutic Effect;Time;Toxicokinetics;Transforming Growth Factor beta;Treatment Efficacy;Umbilical Cord Blood;Universities;Up-Regulation;Utah;Vascular Endothelial Growth Factors;Vascularization;Ventilator;Work;antagonist;antenatal;chronic respiratory disease;comorbidity;cytokine;cytotoxicity;drug development;early childhood;efficacy testing;endothelial dysfunction;experience;genotoxicity;human model;improved;in vitro testing;intravenous injection;lamb model;lead candidate;lung injury;macrophage;meetings;monocyte;mouse model;neonatal mice;neonate;neurotensin mimic 1;novel;novel strategies;novel therapeutics;peripheral blood;prenatal;preterm newborn;prevent;programs;prophylactic;pulmonary function;pup;respiratory;response;small molecule;surfactant;tissue repair;vasculogenesis;ventilation,A novel approach for prevention of Bronchopulmonary dysplasia in at-risk pre-term infants,"NARRATIVE
Bronchopulmunary Dysplasia (BPD) is a disease of pre-term infants whose lungs are injured upon exposure to
excess oxygen from ventilators, impairing effective gas exchange in the lungs. Ayuvis Research is developing a
novel class of immunomodulating compounds derived from chitin that decrease inflammation and improve lung
vascularization as well as decrease pulmonary hypertension. Our objective is to test the efficacy of our lead
compound in pre-term lamb model mimicking the physiology of ventilated preterm human infants and to further
validate its effect in a series of animal and in vitro tests. Results of this research will lead to much needed
prophylactic treatment for BPD and treatment for other life-threatening lung conditions.",NICHD,10482142,PA-21-259,1R44HD107857-01A1,1,R44,HD,107857,1,A,12358012,"ACHARYA, SUCHISMITA ",Not Applicable,Unavailable,79277952,E3H4XC65GZU3,10036745,"AYUVIS RESEARCH, INC.",FORT WORTH,TX,Domestic For-Profits,761045155,UNITED STATES,SBIR/STTR,2022,1109134, ,NICHD, , , ,1109134
No NIH Category available,Acute;Affect;Alzheimer&apos;s Disease;Alzheimer&apos;s disease related dementia;Alzheimer&apos;s disease risk;American;Anesthesia procedures;Anti-Cholinergics;Anti-Inflammatory Agents;Anxiety;Applications Grants;Attention;Biological Markers;Brain;Caring;Clinic;Clinical Trials;Cognitive;Cognitive deficits;Conscious;Data;Data Set;Day Surgery;Dehydration;Delirium;Dementia;Elderly;Environment;Evaluation;Family;Foundations;Friends;Future;Geriatrics;Goals;Habilitation;Health Care Costs;Heart;Hour;Immune;Impaired cognition;Incidence;Inflammation;Inflammatory;Intervention;Intervention Trial;Left;Link;Measurement;Measures;Mediating;Modification;Mus;Negative Finding;Neuronal Injury;Neurons;Operative Surgical Procedures;Outcome;Pathogenesis;Patients;Perioperative;Play;Postoperative Period;Preoperative Care;Recovery of Function;Reflex action;Research;Risk;Role;Sampling;Serum;Stress;Surgical Models;Syndrome;Testing;Training;Vagus nerve structure;Work;aging brain;arm;base;career;experience;follow-up;heart rate monitor;heart rate variability;immune function;improved;inflammatory marker;mortality;neuroinflammation;novel;novel marker;older patient;postoperative delirium;prevent;prospective;screening;standard measure;stressor;systemic inflammatory response;therapy development;vagus nerve stimulation;wound healing,The Role of the Aging Brain-Heart-Immune Axis in Postoperative Delirium,"RELEVANCE STATEMENT
Vagal tone, which naturally decreases with advancing age, allows the brain to control systemic inflammation,
via the brain-heart-immune axis. Even though excessive postoperative inflammation is hypothesized the cause
delirium in older adults and to potentiate Alzheimer’s disease and related dementias via neuronal injury, the
role of the brain-heart-immune axis in postoperative delirium remains unexplored. This study aims to establish
the role of the vagus nerve-mediated brain-heart-immune axis in postoperative delirium pathogenesis and,
thus, to facilitate the development of interventions to enhance preoperative vagal tone, to improve cognitive
outcomes after surgery, and to reduce the risk of Alzheimer’s Disease and related dementias in the nearly 20
million older Americans who undergo surgery annually.",NIA,10517672,RFA-AG-22-027,1R03AG078891-01,1,R03,AG,78891,1, ,78262923,"ACKER, LEAH ",Not Applicable,ANESTHESIOLOGY,44387793,TP7EK8DZV6N5,2221101,DUKE UNIVERSITY,DURHAM,NC,SCHOOLS OF MEDICINE,277054673,UNITED STATES,Non-SBIR/STTR,2022,161000, ,NIA,100000,61000, ,161000
No NIH Category available,Address;Animals;Biology;Biomedical Research;Collaborations;Communities;Disease;Doctor of Philosophy;Ecosystem;Funding;Grant;Health;Human;Individual;Infrastructure;International;Knowledge;Medical;Midwestern United States;Mission;Modeling;Molecular;Prevention;Primates;Quality of life;Research;Resources;Scientist;Services;Societies;Training;Translations;United States National Institutes of Health;Wisconsin;animal facility;base;human disease;improved;nonhuman primate;programs,Wisconsin National Primate Research Center Support,"PROJECT NARRATIVE. The Wisconsin National Primate Research Center (WNPRC) base operating grant
supports services and resources for research addressing human health issues utilizing non-human primate
(NHP) models. The WNPRC provides a rich and integrated portfolio of cutting-edge services, resources, and
scientific expertise that support NHP research with high impact and direct relevance to human and animal
health and disease. With ongoing additions to WNPRC infrastructure, and expansion of the Center’s scientific
components and collaborations, the WNPRC is poised to advance the translation of NHP research findings into
new remedies for some of our society’s most pressing medical problems.",OD,10410947,PAR-20-181,2P51OD011106-61,2,P51,OD,11106,61, ,16091197,"ACKERMAN, STEVEN A.",Not Applicable,NONE,161202122,LCLSJAGTNZQ7,578503,UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,GRADUATE SCHOOLS,537151218,UNITED STATES,Research Centers,2022,9941784, ,OD,7289947,2651837, ,9941784
No NIH Category available,Absence Epilepsy;Acute;Alleles;Amino Acids;Anticodon;Astrocytes;Brain;Brain region;Buffers;Cell Death;Cell physiology;Cells;ChIP-seq;Chemicals;Codon Nucleotides;Data;Development;Disease;Epilepsy;Epitopes;Equilibrium;Eukaryota;FRAP1 gene;Family;Family member;Future;Gene Expression;Gene Family;Genes;Genetic;Genetic Transcription;Genetic Translation;Goals;Hippocampus (Brain);Homeostasis;Human;Impairment;Individual;Induced pluripotent stem cell derived neurons;Investigation;Laboratories;Link;Maintenance;Messenger RNA;Microglia;Modeling;Molecular;Mus;Mutation;Nature;Nerve Degeneration;Neurons;Nuclear;Phenotype;Physiological;Physiology;Predisposition;Process;Property;Proteins;RNA Polymerase III;Regulation;Ribosomes;Role;Seizures;Severities;Signal Pathway;Signal Transduction;Sirolimus;Small RNA;Synapses;Synaptic Transmission;Synaptosomes;Testing;Tissues;Transcript;Transfer RNA;Transgenic Organisms;Translations;United States;Variant;Vertebrates;Wild Type Mouse;Work;base;biological adaptation to stress;cell type;differential expression;excitatory neuron;frontier;genome-wide;granule cell;in vivo;inhibitory neuron;mTOR Inhibitor;mammalian genome;member;mouse genome;mouse model;nervous system disorder;neuronal cell body;novel;null mutation;overexpression;patch clamp;response;restoration;transcriptome;transgene expression;translatome,The Function of the Cytoplasmic tRNA Repertoire in the Cellular and Molecular Homeostasis of the Mammalian Brain ,"PROJECT NARRATIVE
Understanding and treating neurological diseases is a high priority in the United States and globally. Loss of
the brain-specific transfer RNA (tRNA), n-Tr20, can alter neuron function and the severity of genetic forms of
neurodegeneration and epilepsy. Our goal is to find the mechanism by which loss of tRNAs cause neurological
disease.",NINDS,10366550,PA-20-185,1R01NS119525-01A1,1,R01,NS,119525,1,A,1922023,"ACKERMAN, SUSAN L",Not Applicable,OTHER BASIC SCIENCES,804355790,UYTTZT6G9DT1,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF MEDICINE,920930621,UNITED STATES,Non-SBIR/STTR,2022,430574, ,NINDS,272515,158059, ,430574
